sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D21-0078,HPRC,T2T-CHM13,0.00133148,0.06381825,0.99866852,0.93485027,0.05196133,0.97829324,0.97829324,0.00036048
D21-0079,HPRC,T2T-CHM13,0.00138362,0.05783944,0.99861638,0.94077693,0.04867267,0.97640046,0.97640046,0.00036404
D21-0083,HPRC,T2T-CHM13,0.00102013,0.06057291,0.99897987,0.93840695,0.05167395,0.97407077,0.97407077,0.00040935
D21-0084,HPRC,T2T-CHM13,0.00110795,0.06277870,0.99889205,0.93611335,0.05346560,0.97428303,0.97428303,0.00045532
D21-0085,HPRC,T2T-CHM13,0.00095760,0.06215707,0.99904240,0.93688533,0.05096414,0.97936665,0.97936665,0.00035627
D21-0091,HPRC,T2T-CHM13,0.00117946,0.06178238,0.99882054,0.93703816,0.05007618,0.98857594,0.98857594,0.00035558
D22-0006,HPRC,T2T-CHM13,0.00114809,0.06222639,0.99885191,0.93662552,0.05141871,0.97740047,0.97740047,0.00040065
D22-0007,HPRC,T2T-CHM13,0.00073098,0.03470082,0.99926902,0.96456821,0.02783833,0.98134319,0.98134319,0.00045415
D22-0008,HPRC,T2T-CHM13,0.00102042,0.05789515,0.99897958,0.94108443,0.04839395,0.97714207,0.97714207,0.00041766
D22-0015,HPRC,T2T-CHM13,0.00091129,0.06415378,0.99908871,0.93493494,0.05102515,0.97731069,0.97731069,0.00040761
