sample,genome,reference,percent_unmapped,percent_mq0,percent_mapped,percent_mq>0_mapped,reads_mapped_mq=0,properly_paired,misoriented,mismatch_rate
D22-0159,Linear,T2T-CHM13,0.0010759,0.0580444,0.9989241,0.9408797,0.0580444,0.9945658,0.0001402,0.0060910
D22-0161,Linear,T2T-CHM13,0.0009966,0.0623996,0.9990034,0.9366038,0.0623996,0.9943061,0.0001889,0.0062835
D22-0162,Linear,T2T-CHM13,0.0009606,0.0575167,0.9990395,0.9415228,0.0575167,0.9947343,0.0001671,0.0065848
D22-0170,Linear,T2T-CHM13,0.0007487,0.0537480,0.9992513,0.9455033,0.0537480,0.9952761,0.0002145,0.0069029
D23-0058,Linear,T2T-CHM13,0.0009136,0.0651765,0.9990864,0.9339100,0.0651765,0.9935669,0.0002319,0.0055201
D23-0059,Linear,T2T-CHM13,0.0008885,0.0653297,0.9991115,0.9337818,0.0653297,0.9934894,0.0002342,0.0055366
D23-0060,Linear,T2T-CHM13,0.0007842,0.0578450,0.9992158,0.9413708,0.0578450,0.9943223,0.0002093,0.0055802
DGS-20-210,Linear,T2T-CHM13,0.0006612,0.0606863,0.9993388,0.9386525,0.0606863,0.9929551,0.0001701,0.0045863
D09-468,Linear,GRCh38,0.0005171,0.0426537,0.9994829,0.9568292,0.0426537,0.9891585,0.0002716,0.0057313
D12-880,Linear,GRCh38,0.0000452,0.0424988,0.9999548,0.9574560,0.0424988,0.9849208,0.0003651,0.0093852
D12-881,Linear,GRCh38,0.0000530,0.0452540,0.9999470,0.9546931,0.0452540,0.9849191,0.0002933,0.0084540
D12-928,Linear,GRCh38,0.0012423,0.0467357,0.9987577,0.9520220,0.0467357,0.9815224,0.0004719,0.0102642
D13-708,Linear,GRCh38,0.0011029,0.0440814,0.9988971,0.9548157,0.0440814,0.9869033,0.0002534,0.0078561
D13-944,Linear,GRCh38,0.0006981,0.0420480,0.9993019,0.9572539,0.0420480,0.9895080,0.0002050,0.0070808
D14-0589,Linear,GRCh38,0.0000415,0.0426410,0.9999585,0.9573175,0.0426410,0.9843162,0.0004657,0.0101063
D15-0055,Linear,GRCh38,0.0003466,0.0416146,0.9996534,0.9580388,0.0416146,0.9884395,0.0002383,0.0047789
D15-1048,Linear,GRCh38,0.0009589,0.0451327,0.9990412,0.9539085,0.0451327,0.9861294,0.0002715,0.0048754
D15-1050,Linear,GRCh38,0.0014772,0.0416455,0.9985228,0.9568774,0.0416455,0.9859442,0.0002599,0.0059685
D15-1762,Linear,GRCh38,0.0006232,0.0447823,0.9993768,0.9545945,0.0447823,0.9872102,0.0003675,0.0064027
D15-1768,Linear,GRCh38,0.0006355,0.0413568,0.9993645,0.9580077,0.0413568,0.9886209,0.0003965,0.0059732
D16-0208,Linear,GRCh38,0.0007614,0.0431518,0.9992386,0.9560868,0.0431518,0.9880190,0.0003547,0.0078040
D16-0298,Linear,GRCh38,0.0013428,0.0415096,0.9986572,0.9571476,0.0415096,0.9876427,0.0002968,0.0082596
D17-0918,Linear,GRCh38,0.0008523,0.0481720,0.9991477,0.9509757,0.0481720,0.9859471,0.0004196,0.0079828
D18-0051,Linear,GRCh38,0.0009092,0.0487872,0.9990908,0.9503037,0.0487872,0.9858260,0.0003098,0.0072743
D18-0870,Linear,GRCh38,0.0009524,0.0479918,0.9990476,0.9510559,0.0479918,0.9854591,0.0003551,0.0074962
D18-1122,Linear,GRCh38,0.0009374,0.0467290,0.9990626,0.9523336,0.0467290,0.9861186,0.0003366,0.0091479
D18-1921,Linear,GRCh38,0.0011071,0.0454065,0.9988929,0.9534864,0.0454065,0.9867508,0.0002862,0.0088144
