Sample	Vars	SNP	Indel	Ts/Tv
D22-0081.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8390968	7079170	1311741	0.78
D22-0082.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8303352	7050231	1252258	0.73
D22-0082.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8373161	7043426	1329839	0.8
D22-0088.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8438022	7162201	1275392	0.76
D22-0088.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8388090	7063700	1324658	0.8
D22-0089.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8030946	6824314	1206043	0.75
D22-0089.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8174836	6880248	1294591	0.82
D22-0109.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7726061	6529202	1196221	0.81
D22-0109.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7925300	6645375	1280062	0.86
D22-0110.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7850499	6647183	1202883	0.78
D22-0110.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8001281	6717578	1283901	0.83
D22-0119.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8371156	7107796	1262942	0.77
D22-0119.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8384267	7054977	1329911	0.83
D22-0159.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7596545	6391993	1203907	0.84
D22-0159.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7838286	6545108	1293574	0.9
D22-0161.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7827990	6619582	1207579	0.79
D22-0161.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7937554	6654465	1283421	0.85
D22-0162.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7780397	6562034	1217907	0.82
D22-0162.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7895927	6603587	1292863	0.88
D22-0170.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8106695	6868844	1237502	0.73
D22-0170.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8302251	6980595	1321894	0.79
D23-0058.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7879085	6657269	1221005	0.8
D23-0058.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7993267	6706007	1287391	0.86
D23-0059.hprc-v1.1-mc-chm13.surj_realn.snv_indels	8036864	6804603	1231379	0.79
D23-0059.hprc-v1.1-mc-grch38.surj_realn.snv_indels	8068255	6772458	1295948	0.84
D23-0060.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7780388	6563041	1216957	0.81
D23-0060.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7981020	6688342	1293079	0.88
D23-0074.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7819676	6595791	1223524	0.81
D23-0074.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7980172	6682793	1298020	0.87
DGS-20-210.hprc-v1.1-mc-chm13.surj_realn.snv_indels	7060677	5834849	1225319	1.02
DGS-20-210.hprc-v1.1-mc-grch38.surj_realn.snv_indels	7252854	5957869	1295385	1.07
